,City,Street,Floor,NumOfRooms,Size(SQM),Type,Price(₪)
2412, חיפה,יוסף,2,3.5,110,דירה,1150000
2413, כפר סבא,זטלר,4,3.0,95,דירה,2640000
2415, חריש,רימון,0,6.0,125,דירה,2140000
2416, נתניה,אריה מוצקין,7,3.0,73,דירה,1620000
2417, נתניה,גלי הים,31,5.0,182,גג/פנטהאוז,6500000
2418, לוד,אלי כהן,0,3.0,68,דירת גן,1199000
2419, כפר סבא,זטלר,4,3.0,103,דירה,3290000
2420, ירושלים,התקופה 13,3,5.0,106,דירה,2890000
2421, אשקלון,משה שרת 34,0,5.0,290,דירת גן,2450000
2422, ירושלים,שלמה בן יוסף 38,0,2.0,45,דירה,1650000
2423, פתח תקווה,דרך מנחם בגין 27,2,3.0,80,דירה,2195000
2424, חריש,כלנית 22,0,5.0,240,דירת גן,3200000
2425, עפולה,שדרות רובע יזרעאל 1,1,6.0,161,דירה,1900000
2426, צור יצחק,נחל צלמון 31,0,4.5,190,דירת גן,3100000
2427, יבנה,שדרות ז'בוטינסקי 3,1,4.0,150,דירה,2870000
2428, בית שמש,אהבת שלום 5,4,5.0,125,דירה,2500000
2429, ירושלים,שדרות משה דיין 5,2,4.0,220,דירה,3300000
2430, ראש העין,שדרות בן גוריון 29,0,5.0,280,דירת גן,4300000
2431, חיפה,הפועל 8,3,4.5,140,דירה,1955000
2432, עפולה,יצחק שמיר 38,2,4.0,112,דירה,1300000
2433, ראשון לציון,אושה 5,3,3.0,74,דירה,2200000
2434, אשקלון,יפה נוף 39,5,2.0,40,דירת נופש,1200000
2435, אשקלון,עמישב 5,6,6.0,400,גג/פנטהאוז,4950000
2436, אשקלון,יעקב מרידור 5,8,4.0,112,דירה,1920000
2437, נתיבות,שלום דנינו 1,12,4.0,134,דירה,1540000
2438, נתניה,גבע 33,1,4.0,94,דירה,2420000
2439, באר יעקב,שדרות האלונים,12,4.0,100,דירה,2730000
2440, תל אביב יפו,תל אביב יפו,2,3.0,75,דירה,4900000
2441, חולון,אילת,1,3.0,80,דירה,1860000
2442, ראש העין,הרב שלום שבזי 32,6,5.0,114,דירה,2850000
2443, ירושלים,יהושע בן נון,3,4.0,108,דופלקס,5900000
2444, תל אביב יפו,רמת אביב ג',8,3.0,86,דירה,5700000
2445, באר שבע,עוזיה המלך 24,2,3.0,64,דירה,839000
2446, באר שבע,ישראל גלילי,-1,5.0,170,דירת גן,2099000
2447, תל אביב יפו,שבטי ישראל,1,4.0,150,דירה,5190000
2448, עכו,דותן,6,5.0,145,גג/פנטהאוז,2590000
2449, תל אביב יפו,משה פרלוק,5,5.0,130,דירה,6500000
2450, רמת השרון,נווה גן,0,7.0,240,דירת גן,11900000
2451, הוד השרון,עזר וייצמן,14,6.0,164,דירה,4650000
2452, תל אביב יפו,"מונטיפיורי, הרכבת",24,2.0,58,דירה,3300000
2453, תל אביב יפו,תל אביב יפו,3,3.0,63,דירה,2350000
2454, אריאל,הורדים 5,0,3.0,78,דירת גן,1449000
2455, הרצליה,סוקולוב,10,3.5,75,דירה,3000000
2456, דימונה,תל לכיש 3,3,4.0,97,דירה,1100000
2458, קרית ביאליק,גבעת הרקפות,6,4.0,205,גג/פנטהאוז,2500000
2459, חריש,ברקת 18,1,4.0,100,דירה,1650000
2463, באר שבע,קלישר 300,0,4.0,74,דירה,1600000
2464, בית שאן,לוי אשכול 35,1,4.0,124,דירה,1300000
2465, בית שמש,שדרות האמוראים 1,4,3.5,126,דירה,2350000
2466, יבנה,נעמי שמר 12,9,5.0,150,גג/פנטהאוז,3300000
2467, באר יעקב,נופך 1,15,5.0,154,דירה,3820000
2468, ירושלים,רפאל בר לביא 1,1,4.5,100,דופלקס,2980000
2469, פתח תקווה,דוד מאיר גוטמן 28,2,4.0,90,דירה,2400000
2470, תל אביב יפו,יצחק שדה 52,3,2.5,60,דירה,3390000
2471, תל אביב יפו,וינגייט 4,28,2.0,65,דירה,3300000
2472, אור יהודה,ניצן 29,3,4.0,117,דירה,2850000
2473, אשקלון,איילה 9,5,4.0,129,דירה,1550000
2474, בת ים,שלמה בן יוסף 7,3,3.0,80,דירה,2000000
2475, רחובות,"חזון אי""ש 15",4,4.0,104,דירה,2500000
2476, רמת גן,"הרא""ה 153",4,3.0,76,דירה,2900000
2477, כפר סבא,שלמה וחיה אנגל 1,4,4.0,135,דירה,3690000
2478, אשדוד,רובע ד',1,4.0,130,דירה,2050000
2479, ירושלים,"בית הכרם, רמת בית הכרם",2,5.0,120,דירה,4850000
2480, תל אביב יפו,שיבת ציון,2,3.0,55,דירה,2790000
2481, תל אביב יפו,ניסים אלוני 3,10,3.5,130,דירה,6200000
2482, בת ים,בר יהודה,3,2.5,70,דירה,1850000
2483, ירושלים,הרב חיים ברלין,1,5.0,117,דירת גן,5300000
2484, תל אביב יפו,משה וילנסקי 6,3,5.5,138,דירה,6280000
2485, תל אביב יפו,טהון,1,3.0,70,דירה,4200000
2487, חולון,רבי עקיבא,2,4.0,115,דופלקס,2220000
2488, רמת גן,ישורון,5,5.0,150,דירה,4100000
2489, ראשון לציון,"חב""ד",2,4.0,72,דירה,2270000
2490, מבשרת ציון,מבשרת ציון,2,4.0,130,דירה,3150000
2491, תל אביב יפו,בלוך,4,5.0,153,דירה,10760000
2492, רמת השרון,נווה רסקו,8,4.0,140,דירה,6200000
2493, תל אביב יפו,לאן א',5,5.0,208,גג/פנטהאוז,17400000
2494, רמת השרון,נווה גן,2,5.0,135,גג/פנטהאוז,7350000
2495, פתח תקווה,מבצע דקל 14,1,4.0,119,דירה,2830000
2496, רמת גן,באר אורה 3,4,5.0,129,דירה,3200000
2497, נתניה,עוזי חיטמן,24,5.0,168,גג/פנטהאוז,9000000
2498, ירושלים,הנורית 25,3,3.0,45,דירה,1800000
2499, טבריה,ציון בהלול 12,1,4.0,107,דירה,980000
2500, רמלה,משה לוי 1,15,3.0,76,דירה,2220000
2501, ראשון לציון,עין הקורא 22,10,3.0,80,דירה,2650000
2502, קרית שמונה,יוסף שפרינצק 49,2,3.5,76,דירה,800000
2503, בית שמש,עידו הנביא 2,5,3.5,85,דירה,2150000
2504, צור הדסה,מבוא חרוב 10,2,4.0,101,דירה,2560000
2505, מבשרת ציון,מבוא לבונה 2,1,4.5,166,דירת גן,3500000
2506, חולון,גאולים 35,1,3.5,85,דירה,2150000
2507, חריש,תאנה 15,5,4.0,105,דירה,1740000
2508, קרית ביאליק,שדרות וייצמן 37,3,6.0,150,גג/פנטהאוז,2500000
2509, הרצליה,האילנות 42,5,4.0,104,דירה,3750000
2510, קרית ביאליק,"אצ""ל 6",3,4.5,107,דירה,1460000
2511, טירת כרמל,"לח""י 13",8,4.0,114,דירה,2100000
2512, נס ציונה,קשת 9,4,3.0,92,דירה,2700000
2513, באר שבע,סנהדרין 112,2,7.0,130,דירה,1400000
2514, גני תקווה,דרך הים 20,17,5.0,170,דירה,5450000
2515, אור עקיבא,לבונה 1,1,4.5,184,דירת גן,3700000
2516, נס ציונה,הלב,3,3.0,70,דירה,2200000
2517, קרית אונו,יהושוע באום,9,4.0,110,דירה,4250000
2518, תל אביב יפו,הצפון החדש - כיכר המדינה,12,3.5,151,דירה,12500000
2519, כפר סבא,בר אילן 40,1,4.0,100,דירת גן,3380000
2520, תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",8,5.0,130,דירה,7800000
2521, רחובות,פרופ' יהודית בירק,1,5.0,125,דירה,3195000
2522, כפר סבא,קרית ספיר,3,5.0,130,דירה,3330000
2523, תל אביב יפו,נס ציונה 3,5,3.0,92,גג/פנטהאוז,12900000
2524, ראשון לציון,דרור 20,4,2.5,80,דירה,1850000
2525, פתח תקווה,זאב ברנדה 44,4,5.0,116,דירה,2550000
2526, ירושלים,"בית הכרם, רמת בית הכרם",4,6.0,165,גג/פנטהאוז,6200000
2527, תל אביב יפו,ג'ורג' אליוט,0,3.0,85,דירה,4199000
2528, רעננה,יעקב אורלנד,1,4.0,106,דירה,3590000
2529, תל אביב יפו,שיינקין 10,2,1.0,39,דירה,3000000
2530, לוד,אגוז 16,1,4.0,83,דירה,1380000
2531, תל אביב יפו,הרב ניסים 9,27,4.0,255,דירה,21700000
2532, תל אביב יפו,פנקס,5,4.0,150,דירה,10800000
2533, תל אביב יפו,יחיאל דב דרזנר,7,4.5,127,דירה,5800000
2534, הרצליה,צמרות,16,5.5,138,דירה,5600000
2535, רמת גן,תל יהודה,0,5.0,253,דירת גן,6300000
2536, הרצליה,העוגן,3,4.0,200,דירה,8800000
2537, הרצליה,הרצליה,6,2.5,75,דירה,5000000
2538, ראשון לציון,האחים סולימן 5,3,4.0,98,דירה,2850000
2539, חיפה,י.ל. פרץ 15,1,3.0,66,דירה,850000
2540, עמנואל,"הבעש""ט 10",3,3.0,155,גג/פנטהאוז,1990000
2541, הוד השרון,הציונות 1,19,5.0,130,דירה,4950000
2542, אשקלון,טשרניחובסקי 4,2,4.0,80,דירה,1200000
2543, ירושלים,השישה עשר 44,3,5.0,150,גג/פנטהאוז,2630000
2544, ירושלים,השישה עשר 44,3,5.0,150,דירה,2630000
2545, נתניה,החשמונאים 1,18,4.0,157,דופלקס,5900000
2546, באר שבע,יהודה הלוי 4,3,3.0,78,דירה,850000
2547, לוד,הצנחנים 2,4,6.0,200,דירה,3800000
2548, תל אביב יפו,חלמית 2,4,3.0,70,דירה,3250000
2549, תל אביב יפו,גרציאני יצחק 4,27,4.0,125,דירה,8200000
2550, רעננה,הסחלב 14,2,4.0,124,דירה,4100000
2551, קרית ים,שבטי ישראל 5,3,3.0,76,דירה,1200000
2552, מזכרת בתיה,אברהם מרדכי לוין 6,1,4.0,125,דירה,3350000
2553, חיפה,מדרגות שוקרי 12,1,3.5,76,דירה,840000
2554, תל אביב יפו,ורשבסקי 19,0,4.5,160,דירת גן,3750000
2555, טבריה,הבנים 2,2,3.0,38,דירה,700000
2556, תל אביב יפו,רות,2,2.0,78,דירה,4570000
2557, תל אביב יפו,תל אביב יפו,1,3.0,70,דירה,4790000
2558, מגדל העמק,שאר העיר,1,4.0,134,גג/פנטהאוז,1950000
2559, טירת כרמל,גלי כרמל,0,4.0,104,דירת גן,2790000
2560, הרצליה,"הרצליה הירוקה, נווה עובד",1,4.0,100,דירה,3780000
2561, באר שבע,ישראל שוחט,0,4.0,330,דירת גן,2300000
2562, בת ים,הנביאים,5,3.0,91,דירה,2990000
2563, תל אביב יפו,יפרח,2,2.0,63,דירה,3680000
2564, רמת גן,רזיאל 44,3,4.0,122,דירה,3975000
2565, אור עקיבא,אור ים,4,5.0,126,דירה,2620000
2566, תל אביב יפו,דוד רזיאל 2,1,3.0,71,דירה,4900000
2567, ירושלים,"בית הכרם, רמת בית הכרם",4,5.0,143,דירה,5200000
2568, תל אביב יפו,הגדוד העברי,5,2.0,51,דירה,2950000
2569, נתניה,שדרות חיים וייצמן,1,5.0,100,דירה,2170000
2570, רעננה,נווה זמר,4,5.0,142,דירה,4450000
2571, פתח תקווה,דוד צבי פנקס,3,5.0,125,דירה,3050000
2572, תל אביב יפו,מרים החשמונאית,2,3.0,96,דירה,5700000
2573, תל אביב יפו,רמת אביב ג',9,5.0,276,גג/פנטהאוז,10950000
2574, פתח תקווה,משה הס,3,2.5,70,דירה,1690000
2575, חדרה,עין הים,17,5.0,150,דופלקס,3250000
2576, תל אביב יפו,"נווה גולן, יפו ג'",5,3.0,80,דירה,2490000
2579, קרית אתא,העצמאות 26,8,5.0,215,גג/פנטהאוז,2200000
2580, הרצליה,רמת ים 60,0,1.5,40,דירה,2400000
2581, אשקלון,יונתן נתניהו 6,1,4.0,120,דירה,1900000
2582, חולון,המכבים 11,4,3.0,62,דירה,1795000
2583, קרית שמונה,תל חי 83,1,1.0,22,דירה,599000
2584, דימונה,שדרות גולדה מאיר 1005,1,3.0,70,דירה,700000
2585, חולון,יהושע חנקין 33,4,3.0,76,דירה,2600000
2586, תל אביב יפו,משה וילנסקי 1,3,5.0,118,דירה,5150000
2587, חולון,דוד צדוק 6,4,5.0,110,דירה,2800000
2588, אשקלון,שדרות עמק האלה 32,7,4.0,118,דירה,1740000
2589, באר שבע,ז'בוטינסקי 28,7,4.0,100,דירה,840000
2590, טבריה,אסתר המלכה 1,6,4.0,125,דירה,1635000
2591, נס ציונה,רחבעם זאבי 22,1,2.5,50,דירה,2250000
2592, רמת השרון,סוקולוב 63,3,2.0,51,דירה,2800000
2593, מודיעין מכבים רעות,דפנה 7,3,6.0,142,דירה,3900000
2594, קרית מוצקין,הרב הרצוג 24,2,4.0,100,דירה,1500000
2595, פתח תקווה,פתח תקווה,3,4.5,97,דירה,2250000
2596, בת ים,שדרות העצמאות 21,4,3.0,92,דירה,2587669
2597, תל אביב יפו,ברזיל,12,4.0,170,גג/פנטהאוז,12500000
2598, תל אביב יפו,נווה אביבים,7,5.0,150,דירה,7100000
2599, חיפה,שדרות מוריה 16,3,3.0,85,דירה,1990000
2600, קרית אונו,נהר הירדן,4,4.0,124,דירה,3495000
2601, תל אביב יפו,הקליר,2,4.0,107,דירה,6480000
2602, רמת גן,שאר ישוב,2,5.0,120,דירה,2630000
2603, קרית טבעון,קרית טבעון,2,4.5,110,גג/פנטהאוז,1600000
2604, הרצליה,גליל ים (מתחם הכוכבים),0,4.0,271,דירת גן,6570000
2605, ירושלים,"גבעת הורדים, רסקו",3,4.0,100,דירה,3250000
2606, תל אביב יפו,טשרניחובסקי,1,4.5,95,דירה,4800000
2607, הוד השרון,אפרים קציר,3,5.0,165,דירה,4550000
2608, תל אביב יפו,שדרות לוי אשכול,20,7.0,260,גג/פנטהאוז,14000000
2609, רעננה,קרית ויצמן,6,5.0,160,גג/פנטהאוז,5490000
2610, ירושלים,אנטיגונוס,0,5.0,125,דירת גן,3600000
2611, תל אביב יפו,פלורנטין 2,2,2.0,48,דירה,3100000
2612, תל אביב יפו,"רנ""ק",2,4.0,105,דירה,6700000
2613, חיפה,הנביאים,1,5.0,121,דירה,840000
2614, נתניה,נתניה,6,4.0,100,דירה,2290000
2616, נשר,השיקמה 2,4,4.0,119,דירה,1650000
2617, נתניה,"שדרות ח""ן 1",4,4.0,100,דירה,2380000
2618, אשקלון,"רמב""ם 20",5,5.0,115,דופלקס,1690000
2619, קרית שמונה,חצב 13,8,3.0,94,דירה,1075000
2620, באר שבע,ז'בוטינסקי 20,8,4.0,100,דירה,1330000
2621, רמת גן,עוזיאל 50,2,2.5,52,דירה,2300000
2622, באר שבע,יוסף בורג 92,3,4.0,160,דירה,1760000
2623, בני ברק,חברון 27,3,8.0,180,דירה,3380000
2624, חיפה,השילוח 11,1,2.0,55,דירה,625000
2625, לוד,משה רבנו 1,3,5.0,135,דירה,2450000
2626, חולון,היינץ כהן 5,19,5.0,150,דירה,3990000
2627, באר יעקב,טופז 9,8,5.0,123,דירה,3500000
2628, חיפה,ירושלים 3,2,3.0,60,דירה,1350000
2629, באר שבע,פרופסור אברהם אמיר 2,1,4.0,115,דירה,1450000
2630, חריש,לוטם 39,5,4.0,115,דירה,1830000
2631, ראשון לציון,גולינקין 5,3,3.0,61,דירה,1980000
2632, גבעת שמואל,השקד 4,10,5.0,157,דירה,3850000
2633, רמת גן,"ד""ר כהן 7",4,4.0,160,דירה,4200000
2634, באר שבע,הכנסת 25,1,3.0,60,דירה,655000
2635, בית שמש,נחל שורק,1,4.0,100,דירה,2400000
2636, הרצליה,מדינת היהודים,1,2.5,78,דירה,6000000
2637, רחובות,אברהם מאפו,3,3.0,70,דירה,1650000
2638, תל אביב יפו,בן שפרוט 2,1,3.0,118,דירה,6300000
2639, יקנעם עילית,שער הגיא,5,4.0,140,גג/פנטהאוז,2195000
2640, גבעתיים,שטח 9,3,4.0,105,דירה,4700000
2641, אשקלון,הסיטי,1,3.5,82,דירה,1520000
2642, בני ברק,הרב אלקלעי,0,5.0,157,דירת גן,2290000
2643, תל אביב יפו,תל אביב יפו,5,4.5,125,גג/פנטהאוז,13950000
2644, נתניה,גלי הים,36,5.0,290,גג/פנטהאוז,15000000
2645, תל אביב יפו,משה קול 8,2,4.0,115,דירה,4880000
2646, ראשון לציון,האירוס,13,4.0,100,דירה,3400000
2647, רעננה,לב הפארק,3,6.0,245,דופלקס,5695000
2648, הוד השרון,החקלאי 7,2,3.5,84,דירה,2690000
2649, טירת כרמל,השריון,2,3.5,60,דירה,985000
2650, נהריה,פינסקר 7,2,5.0,1,דירה,1990000
2651, תל אביב יפו,אופנהיימר,12,5.0,134,דירה,7280000
2653, חדרה,משמר הגבול,1,5.0,137,דירה,2490000
2654, גני תקווה,דרך הים,7,5.0,137,דירה,4290000
2656, פתח תקווה,יעל רום 18,8,4.0,100,דירה,2990000
2657, עכו,פסח פרלמן 9,3,4.0,97,דירה,850000
2658, הוד השרון,הצנחנים 7,4,4.5,116,דירה,2999000
2659, נתניה,אריה בן אליעזר 44,7,5.0,116,דירה,2900000
2660, ראשון לציון,שלום אש 18,2,3.0,50,דירה,2250000
2661, חריש,ברקת 23,3,4.0,100,דירה,1730000
2662, עכו,האשל 13,5,3.0,65,דירה,780000
2663, חצור הגלילית,מנחם בגין 73,2,3.0,73,דירה,850000
2664, חולון,אליעזר הופיין 50,2,2.5,60,דירה,1899000
2665, רמת השרון,"רש""י 5",7,5.0,127,גג/פנטהאוז,7100000
2666, אשקלון,מעלה הגת 31,4,4.0,110,דירה,2100000
2667, חולון,התותחנים 11,1,3.0,60,דירה,2200000
2668, ראש העין,נחשול 2,2,4.0,145,דירה,2770000
2669, כרמיאל,משגב 4,1,3.0,75,דירה,950000
2670, טבריה,גולדה מאיר 7,1,4.5,148,דירה,1550000
2671, רחובות,ארלוזורוב 34,5,5.0,140,דירה,3290000
2672, אשדוד,אדר 8,4,4.5,130,דירה,2370000
2673, פרדס חנה כרכור,שיכון ממשלתי,0,4.5,350,דירת גן,2680000
2674, קרית אונו,נהר הירדן,6,5.0,125,דירה,4850000
2675, לוד,אהרון לובלין 10,4,3.0,76,דירה,1450000
2676, חולון,רמת הגולן,3,3.0,52,דירה,1690000
2677, אשדוד,הר מצדה 87,1,4.0,147,דירה,2790000
2678, תל אביב יפו,הצפון הישן - דרום,1,3.0,95,דירה,4400000
2679, תל אביב יפו,פייבל,4,4.0,106,דירה,6200000
2680, רחובות,"שדרות ח""ן",3,4.0,100,דירה,2450000
2682, מעלה אדומים,האלמוג,0,5.0,140,דירת גן,3050000
2683, ראש העין,זהרה אלפסיה,14,4.5,113,דירה,2890000
2684, תל אביב יפו,נווה צדק,3,4.5,133,דירה,12900000
2685, קרית אונו,יהודה הלוי,1,6.0,215,דירת גן,4550000
2686, אפרת,אפרת,2,7.0,200,דופלקס,2750000
2687, הרצליה,סוקולוב,4,4.0,90,דירה,3090000
2688, תל אביב יפו,שלמה המלך,0,3.0,82,דירה,3990000
2689, קרית אתא,העמק 2,2,5.0,126,דירה,1680000
2690, תל אביב יפו,אבא קובנר,7,5.0,123,דירה,6700000
2691, תל אביב יפו,שפירא,2,4.0,80,דירה,2950000
2693, באר שבע,הנדיב,2,2.0,55,דירה,650000
2694, נתניה,שדרות בנימין 80,1,3.0,100,דירה,2400000
2695, פתח תקווה,הרב קטרוני 42,2,4.0,95,דירה,2600000
2696, חדרה,הנבל 9,15,5.0,152,גג/פנטהאוז,3500000
2697, קרית מלאכי,הגפן 2,13,5.0,153,דירה,2270000
2698, רמלה,יצחק בן צבי 12,2,3.0,68,דירה,1400000
2699, באר שבע,שדרות יוהנה ז'בוטינסקי 42,3,3.5,108,דירה,1290000
2700, קרית אתא,עבודה 3,4,5.0,135,דירה,1800000
2701, חריש,רובין 9,2,4.0,100,דירה,1730000
2702, קרית ים,ברזילי 5,2,5.0,155,דופלקס,1650000
2703, ירושלים,אפרתה 20,3,3.0,68,דירה,2300000
2704, ביתר עילית,החוזה מלובלין 19,1,6.0,170,דירה,3100000
2705, בית שמש,נהרדעא 1,2,4.0,121,דירה,2400000
2706, טבריה,ביאליק 28,1,4.0,97,דירה,1000000
2707, אשקלון,ביכורי ענבים 53,2,5.0,140,דירה,2290000
2708, רמלה,יעקב דורי 3,6,6.0,180,דירה,3400000
2709, מודיעין מכבים רעות,ניסן 89,0,4.0,148,דירת גן,3650000
2710, באר יעקב,שא נס 7,2,4.0,120,דירה,2790000
2711, נתניה,ארצי שרמן 2,18,5.0,142,דירה,3850000
2712, תל אביב יפו,"לב תל אביב, לב העיר צפון",6,5.0,267,גג/פנטהאוז,21000000
2713, תל אביב יפו,הרכבת 16,5,3.0,93,דירה,4750000
2714, ירושלים,שדרות בן מיימון,0,4.0,150,דירת גן,10000000
2715, רמת גן,שדרת התמרים,2,2.0,53,דירה,1890000
2716, עפולה,לשם,1,5.0,150,דירה,1350000
2718, אריאל,"צה""ל 34",3,3.5,95,דירה,1490000
2719, בת ים,אנה פרנק,15,6.0,272,גג/פנטהאוז,5480000
2720, אשדוד,"תש""ח",5,4.0,115,דירה,2190000
2721, תל אביב יפו,הרב ניסים 9,29,5.0,315,דירה,22450000
2722, ראשון לציון,שולמית אלוני,13,3.0,70,דירה,2700000
2723, ראשון לציון,ביאליק 5,4,4.0,120,דירה,2380000
2724, מבשרת ציון,הבושם,1,4.5,118,דירה,3650000
2726, חיפה,כבירים,1,5.0,110,דירה,2250000
2727, תל אביב יפו,העבודה,3,3.0,85,דירה,5299000
2728, לוד,אליהו גולומב 3,4,4.0,110,דירה,1740000
2729, בת ים,מסריק,7,3.5,80,דירה,2450000
2730, רעננה,"רמב""ם",6,5.5,159,גג/פנטהאוז,4500000
2732, רמת גן,נגבה,1,4.0,116,דירה,3200000
2733, בני ברק,הרב דנגור 26,2,4.0,90,דירה,2150000
2734, צפת,"צה""ל 8",9,3.5,67,דירה,1120000
2735, אשדוד,העצמאות 30,11,4.0,128,דירה,2800000
2736, אור יהודה,הכלנית 43,3,4.0,120,דירה,2350000
2737, מגדל העמק,הרב בוסקילה 5,3,4.0,89,דירה,725000
2738, מעלות תרשיחא,"הפלמ""ח 16",1,4.0,92,דירה,1100000
2739, טבריה,הגדוד העברי 4,1,4.0,120,דירה,1320000
2740, מודיעין מכבים רעות,ענבר 6,0,4.0,167,דירת גן,3390000
2741, ראשון לציון,שולמית אלוני 1,8,4.0,114,דירה,3300000
2742, קרית אתא,"בית""ר 10",1,4.0,130,דירה,2050000
2743, תל אביב יפו,דרך מנחם בגין 158,6,3.0,85,דירה,3590000
2744, ירושלים,בית יעקב 5,1,3.0,85,דירה,2990000
2745, תל אביב יפו,אוריאל אקוסטה 16,3,2.0,40,דירה,2950000
2746, עפולה,רוזמרין 12,4,4.5,160,דירה,1490000
2747, חריש,שוהם 22,8,5.0,132,גג/פנטהאוז,2140000
2748, אילת,שדרות חטיבת גולני 42,3,2.0,47,דירה,1750000
2749, חיפה,תאשור 1,-3,5.0,130,דירה,2750000
2750, טבריה,טרומפלדור 2,2,4.0,127,דירה,1250000
2752, תל אביב יפו,פנקס,10,4.0,98,דירה,5170000
2753, ערד,נעורים,3,3.0,75,דירה,730000
2754, תל אביב יפו,דרך מנחם בגין 144,36,3.0,80,דירה,4800000
2755, תל אביב יפו,בעל הטורים 4,4,3.5,85,דירה,3680000
2756, רמת גן,"שכונת בן גוריון, מרכז העיר ג'",7,2.0,62,דירה,2290000
2757, הרצליה,שמואל הנגיד,5,3.5,95,דירה,2950000
2758, רמת השרון,אלון,5,5.0,160,גג/פנטהאוז,7950000
2759, קרית אונו,יצחק רבין,13,3.0,119,דירה,3200000
2760, תל אביב יפו,עמינדב 18,4,4.0,102,דירה,4500000
2761, כפר סבא,פועלים ב,4,3.0,120,דירה,3150000
2762, רחובות,יהודה גורודיסקי,2,3.0,72,דירה,2275000
2763, בת ים,בלפור 58,5,4.0,115,דירה,2800000
2764, צפת,דוד אלעזר,3,3.0,50,דירה,820000
2765, תל אביב יפו,ניסים אלוני,22,5.0,165,דירה,7200000
2766, באר שבע,רמות הרכס,1,4.0,120,דירת גן,1980000
2767, תל אביב יפו,נחמני,2,3.0,84,דירה,6200000
2768, תל אביב יפו,מוסינזון 21,6,3.0,98,דירה,6000000
2770, גבעת שמואל,יצחק שמיר,7,6.0,144,דירה,4000000
2771, חדרה,משמר הגבול,0,5.0,128,דירת גן,3180000
2772, פתח תקווה,יחיאל מיכל פינס 22,2,3.0,63,דירה,1800000
2773, נשר,קרן היסוד 39,0,3.5,80,דירה,1500000
2774, ראשון לציון,טיומקין 11,1,3.0,82,דירה,2100000
2775, בת ים,אנה פרנק 13,2,5.0,130,דירה,3550000
2776, באר שבע,שדרות יוהנה ז'בוטינסקי 4,2,4.5,134,דירה,1700000
2777, קרית מוצקין,דוד אלעזר 10,1,4.0,115,דירה,1580000
2778, בני ברק,בר כוכבא 3,1,3.0,60,דירה,2370000
2779, באר שבע,מבצע יואב 84,4,3.0,75,דירה,650000
2780, אשדוד,דוד וולפסון 7,1,5.0,170,דירה,3130000
2781, ראשון לציון,שדרות היובל 3,6,3.0,87,דירה,2730000
2782, רחובות,מאור יוסף 26,1,4.0,100,דירה,2485000
2783, חדרה,מלחמת ששת הימים 8,3,4.0,100,דירה,1730000
2784, באר שבע,יצחק שתל 30,0,4.0,214,דירת גן,1700000
2785, כפר יונה,שוהם 3,1,5.5,200,דופלקס,3100000
2786, טבריה,אוסישקין 12,2,4.0,120,דירה,1250000
2787, רחובות,סמטת לימון 4,2,3.0,65,דירה,1550000
2788, חיפה,זלמן שניאור 34,1,3.0,60,דירה,1300000
2789, ירושלים,"הל""ה 9",0,2.0,58,דירה,3190000
2790, אשדוד,רוגוזין 60,6,3.0,94,דירה,1740000
2791, ראשון לציון,ראשון לציון,9,5.0,170,גג/פנטהאוז,3950000
2792, תל אביב יפו,המשתלה,4,8.0,412,גג/פנטהאוז,20000000
2793, בית שמש,שדרות האמוראים,7,5.0,181,גג/פנטהאוז,3200000
2794, תל אביב יפו,שדרות לוי אשכול,9,6.0,252,גג/פנטהאוז,11500000
2795, אשקלון,לכיש,2,3.0,97,דירה,1500000
2796, רמת השרון,שדרות וייצמן 12,4,5.0,160,דירה,4980000
2797, רחובות,דרך בן גוריון 13,17,5.0,137,דירה,3390000
2798, ירושלים,יורדי הסירה,1,5.0,145,דופלקס,7500000
2799, תל אביב יפו,תל ברוך צפון,1,3.0,85,דירה,3700000
2800, תל אביב יפו,תל אביב יפו,1,3.0,65,דירה,4300000
2801, מודיעין מכבים רעות,המגינים,13,3.0,106,דירה,2740000
2802, נהריה,בלפור,4,5.0,124,גג/פנטהאוז,2800000
2803, חיפה,הבריכה,0,3.0,70,דירה,1285000
2804, עפולה,הרב דב הכהן קוק,0,5.0,127,דירת גן,2500000
2805, ירושלים,יוסף צבי רימון,4,6.5,184,גג/פנטהאוז,6700000
2806, תל אביב יפו,"לב תל אביב, לב העיר צפון",2,3.0,95,דירה,5350000
2807, גבעתיים,בורוכוב,5,5.0,140,דירה,4440000
2808, רמת גן,הרצל,3,2.0,69,דירה,2230000
2810, רחובות,ב' / צפון מערב העיר,5,4.0,297,גג/פנטהאוז,5470000
2811, רחובות,פרופ' יובל נאמן 17,4,5.0,126,דירה,3520000
2812, רמת גן,משה דיין 30,4,4.0,101,דירה,3200000
2813, חולון,מפרץ שלמה 59,2,4.5,97,דירה,2600000
2814, בת ים,פרלשטיין 2,3,4.0,115,דירה,3000000
2815, באר שבע,יד ושם 6,6,2.0,55,דירה,620000
2816, חולון,יגאל ידין 18,3,5.0,125,דירה,3450000
2817, חיפה,משה חיים שפירא 31,2,2.5,55,דירה,785000
2818, נתניה,הרב קוק 8,5,3.0,84,דירה,2200000
2819, עפולה,אורנים 7,4,5.0,146,דופלקס,1520000
2820, בני ברק,הבנים 4,2,4.0,105,דירה,3150000
2821, אפרת,הזורעים 70,0,4.0,196,דירת גן,2950000
